epoch,lr-Adam,step,train_loss_step
,0.0007969153897880507,0,
0,,24,0.3376496136188507
0,,49,0.20491911470890045
0,,74,0.2836490869522095
0,,99,0.1933639645576477
0,,124,0.3150424063205719
0,,149,0.2392473816871643
0,,174,0.2698303163051605
0,,199,0.21835099160671234
0,,224,0.24717697501182556
0,,249,0.31754130125045776
0,,274,0.29615068435668945
0,,299,0.316295862197876
0,,324,0.3204488158226013
0,,349,0.2302725911140442
0,,374,0.26611316204071045
0,,399,0.37264686822891235
0,,424,0.26231124997138977
0,,449,0.32640451192855835
0,,474,0.2043570876121521
0,,499,0.3062560558319092
0,,524,0.3826269805431366
0,,549,0.28926020860671997
0,,574,0.2894974946975708
0,,599,0.462760865688324
0,,624,0.26372089982032776
0,,649,0.22981907427310944
0,,674,0.31042230129241943
0,,699,0.30951234698295593
0,,724,0.3157896101474762
0,,749,0.27078771591186523
0,,774,0.22887296974658966
0,,799,0.2926296591758728
0,,824,0.1865101456642151
